PersonID,Name,ElectedDate,ResignedDate,FirstDirector
1df12a37-6818-4137-ab58-8a755de2b4e6,Kelley Hartop,2021-03-22,,
0d12cc25-e701-47f2-8793-b76de831daf4,Celestia Hilary,2020-04-20,,
fc2593b3-8596-451e-93e3-e78d2b8b4521,Mavis Benedidick,2020-09-09,,
6db5d1f4-7ec5-4238-b203-633ccb7fbc87,Dulcea Rebert,2020-04-21,,
002e98ac-2d54-425e-b0eb-59551ee222c5,Garnette Bailiss,2022-05-21,2022-09-20,
6db223e0-06da-4b97-9ff7-703945bbc536,Karita Sivil,2022-09-13,,
d1b65b57-9232-4724-b041-eb3c5e7fb64d,Rudolfo Bursnall,,,Yes
10270c53-a418-4e7e-8c6f-7f2c8e87aeab,Rutger McGeechan,2020-05-20,,
ea6ed403-9a84-4f9d-8ca0-edd07128c939,Benetta Bootes,2022-11-07,2022-03-28,
520fd7f8-b504-435b-9a69-231bd2e662ec,Liv Lock,2022-10-19,,
707547d5-6d21-4844-9429-69b7d1dc3567,Barnett Roggers,2020-06-18,,
a3983b10-43ca-4d3e-82ad-6bc5e99131b7,Tillie Friman,2020-07-15,2022-09-23,
cf0aa6fb-8fc2-48bc-8297-092fbf5fabbb,Marlie Digle,,,Yes
5c05ca90-d52d-46db-9f82-105374735fae,Reinold Yurasov,2021-04-20,2022-08-14,
9ec06d30-1717-44b5-a3e2-8b5912e8d68d,Steffane Inglish,2020-05-23,,
16302482-8ed6-4c7a-b097-3837776cabed,Jandy Nevitt,2020-09-21,2021-06-05,
c084eadc-c282-4a9e-9fc4-5d8227543b1b,Nerte Waycott,,,
dc50fd41-1ce2-46d0-8ae7-a12c1efc73c7,Leonie Bazell,,,
6013e29b-c4ec-4372-b97e-8955e527bbc8,Clem Tummond,2022-02-17,,
d6b17f9d-2d7a-4a32-9456-ada53451160f,Giff Bidnall,,,
2476a2c2-e692-4d09-a65b-40483ac05f36,Laney Heiner,2022-07-07,,
27736da2-b84f-49d2-9a54-2e68830b5a06,Aeriel McGourty,,,
4ed65626-06d2-4bcf-9674-7124049bcb7b,Nannie Lazar,,,
ae7acd1a-a164-410a-98b6-957676fcf19f,Christyna Searles,,,
5fc3ab80-0313-49b2-8229-274960fab97b,Lydie Studart,2021-11-27,2022-09-16,
a01682cb-3d12-4a6e-83ed-c095f73b2c4f,Ethyl Lazonby,2022-05-19,,
0cfee843-7e28-45f7-be91-a40c16ee2e90,Konstanze Perdue,2020-09-21,,Yes
478fb676-c9ef-4973-bf0e-6519a91c4b4c,Rhett Wilmington,2022-04-06,,
42440832-3c3c-4989-9b34-b87bc624b1f8,Steward Carek,2020-06-10,,
5f3cd106-3977-4d11-bfd8-f4a3b83ebc6c,Cammi Agius,,,
609a4b79-b638-409d-b0b4-87886e8f47b7,Clo Scragg,2020-05-05,,
124883be-b584-4c76-9533-d558098595b3,Geoffry Hubbocks,2021-12-06,,
936e5313-94a2-4dcf-b29e-ffce496450a6,Jordain Bellefonte,2021-12-04,,
54b82b86-c68e-4e24-9ec7-82f5ca20f60c,Torre McBoyle,2020-06-21,,
f3a9db9d-b633-4409-99e4-7b34c9037f96,Corey Heynen,2021-10-03,2022-03-06,
6b852fc7-0ef4-4232-8df5-e63bc36ca107,Constantia Duer,2020-11-17,,
db754c8c-476e-4ce6-b733-ae7016ae458e,Pearl Linham,,2022-01-15,
0220642f-8bb7-4885-acd8-9140df843024,Bettye Di Ruggero,,2020-06-29,Yes
a07b924e-edd4-4589-93ed-c1b7ca210cc7,Janith Bowie,2021-03-30,,
a3746868-6926-4a69-8851-6bc4b4ec3a01,Gallagher Ker,2022-05-23,,
81f0e413-7af9-42a2-9da5-d5e184bcd906,Blair Crat,2021-06-02,,
39e0a356-b1a5-47d7-9837-98df301693ad,Rutherford Dils,2022-08-19,2021-07-03,
4dec6b3e-1cbe-43b7-8aac-f59ae33add94,Kenny Quirk,2021-11-27,,
a741b821-be58-4ae3-9729-aafbd198e7b8,Ralf Kilford,2021-11-18,,
871922e7-343a-4c4a-a4cb-c90dcc550479,Coop Bliven,2020-05-05,2022-02-05,
b6860c32-9d71-40d1-aa6f-9280b14f066a,Marin Lightbody,2022-06-04,2021-10-30,
11a9f38c-acc7-4e45-ae6c-bb7dd5f6e112,Coralie Snawdon,2021-06-11,2022-05-31,
5688fec9-ad42-41f4-8f83-8343e0755cd0,Larisa Romaynes,2022-09-06,,
89f3bc46-3117-4409-8123-795df21285f2,Roman Blazic,2022-03-14,2021-12-05,
13e05f90-041b-419a-97cc-adcdeae79ce4,Dur Tumilty,2022-09-06,2022-10-31,
01dcb663-a0d8-471c-a291-3ab3b89b00c9,Pauletta Sheardown,2022-06-14,2021-05-10,
4f4f29e1-46da-4d56-b41b-61ba98e0428e,Prue Bursnall,2020-09-14,,
4390fc94-aa28-4bd1-afa7-b9c5f20c638b,Frasier McClay,2021-05-11,,Yes
ef5afb10-d974-4423-b7d3-68103eb9bc8c,Dorelle Crone,2021-04-20,,
af6247d8-61ac-4839-9aa3-0a904694d4a8,Ondrea Wilber,2021-07-29,2021-01-06,
6e4fde8d-3b1b-41aa-a9e1-64bab8bd86c4,Shaw Hethron,2022-06-25,,
482f064f-9001-4dfc-9fa6-c1d391358089,Devland Sextie,2022-05-01,,
4cf9851c-9a03-49d4-8358-aacb12ce34a7,Carmelina Dalgetty,,2020-09-10,
6fdeedac-ddae-45c0-b2de-259d518abaec,Lorilee London,2020-11-15,,
88f73085-9092-4537-a68d-fa0c925da117,Alphonso Woodrup,,2021-09-23,
668ddfd0-f30f-4dca-93d9-bcd8e064a8ba,Morgan Tindle,,2020-06-22,
2b7a6b4c-8dd2-4355-9293-6a88f4cde240,Walliw Peers,2022-06-22,,Yes
3f142360-c1f6-446d-8854-09d51b2a29fc,Osmund Kordas,,,Yes
e5b4de80-967a-4a9b-831f-952f51a00257,Kare Cuphus,2020-06-09,,
88f0e61e-842d-4969-af6f-3a24bcb522c8,Micky Pycock,2021-11-25,,
c689c6a4-ec12-401c-be48-61fb233ffa49,Milzie Ropp,2021-06-04,2021-02-25,
1aa4f30b-fc84-4cdb-befc-fa0cbe847816,Ddene Cornau,2022-03-11,,
d213bbe8-2ede-4768-8f74-fbb5fa2ced62,Patti Saveall,2022-02-22,,
55800320-33e0-46d2-b1fe-7d0d0b15f57f,Klaus Durkin,2022-03-01,2021-03-09,Yes
32a6e801-caca-43e3-964c-9235b6ffd022,Blayne Burnup,2021-01-21,,
d6172e04-090a-419e-9571-a9c9571008df,Thom Fendt,2021-05-17,,Yes
